id,b_true,b_pred,n
0,-4.137379765,-4.093685378,95
1,0.495523244,0.624527626,188
2,0.66643031,0.538879152,56
3,-0.120898051,-0.177447643,74
4,-0.35519703,-0.405620189,87
5,1.746699921,1.708468566,99
6,4.31609333,4.480499235,36
7,-0.219155764,-0.28280615,102
8,-3.864821018,-3.998234733,73
9,2.172888051,1.999719416,166
10,2.173948453,2.061670526,30
11,1.887031085,1.686052437,205
12,1.016983537,0.892405401,91
13,2.446626869,2.509345088,46
14,1.512143617,1.602359443,74
15,-1.766499068,-1.835911231,94
16,-2.31609414,-2.378677232,71
17,-3.025163905,-3.076381257,113
18,0.602776726,0.338376092,45
19,7.44929554,7.200586091,120
20,-1.697306429,-1.665529458,26
21,3.002160117,2.950461033,78
22,-0.817232599,-0.806265316,75
23,-2.856915079,-2.760060776,48
24,-0.156448292,-0.289936484,100
25,3.124085303,2.87287944,119
26,1.978552849,1.949149333,53
27,-0.663817239,-0.661108296,84
28,-1.295775644,-1.474601248,184
29,-1.07841729,-1.177328159,76
30,1.290917289,1.295300841,94
31,0.533848017,0.515406348,69
32,-1.967770959,-2.233978286,29
33,-0.694378898,-0.942251311,118
34,5.610900822,5.399348672,86
35,1.370325791,1.203384874,184
36,2.388478316,2.46650813,117
37,2.142851096,2.021535731,179
38,-2.578675661,-2.855526316,81
39,-1.863360381,-1.784180451,123
40,0.065378198,-0.168117271,92
41,-5.431159988,-5.469664568,111
42,0.923506349,0.785260597,20
43,-6.123034865,-6.25088079,108
44,-1.83022003,-1.773450251,144
45,1.757580937,1.52908891,120
46,0.323696117,0.083443621,145
47,-2.908163353,-2.888729535,118
48,1.62093748,1.587592757,77
49,-0.57034075,-0.577363003,185
50,-1.005446728,-0.928703046,85
51,-4.782126622,-4.882639091,78
52,-2.604501615,-2.340223516,78
53,-6.717862623,-6.687004372,208
54,-1.05454944,-0.994420565,52
55,2.241276322,2.360187433,75
56,0.227684183,0.075573761,143
57,1.726521333,1.620645765,101
58,-1.914642908,-2.145357113,78
59,-2.798962156,-2.567292226,98
60,-0.992579393,-1.006938047,174
61,0.858300224,0.877426855,127
62,-5.020872586,-4.869456649,100
63,3.691008388,3.606195617,128
64,-0.183014785,-0.028911423,75
65,3.692207499,3.776106578,50
66,0.955935049,0.956595228,221
67,1.094838322,1.020035199,169
68,-0.567353569,-0.703421311,57
69,-2.410852663,-2.54805664,116
70,-7.197250446,-6.938535605,77
71,0.990452483,0.867569439,127
72,3.420503274,3.40371652,94
73,4.480553685,4.4655305,144
74,0.556546187,0.392704184,96
75,-0.980779924,-1.067064154,70
76,0.64718927,0.733154202,106
77,7.781024858,7.560168631,57
78,-3.196808627,-3.420360386,68
79,0.242374611,0.442900984,77
80,-2.779623081,-2.721210281,74
81,-3.617269993,-3.652640682,91
82,-0.393720013,-0.498188995,168
83,0.43075023,0.565983574,151
84,-0.736536887,-1.007130529,57
85,-0.352332353,-0.405815089,110
86,2.723783963,2.574137696,79
87,-0.283913148,-0.300617894,74
88,0.194005826,0.144332142,59
89,1.952429099,1.981072888,56
90,-0.243930863,-0.274918403,167
91,0.482666985,0.446515614,123
92,1.582123397,1.832820095,76
93,3.190601762,2.972159906,98
94,-0.19144242,-0.125432509,128
95,5.698218255,5.496065639,142
96,-1.840236167,-1.933556918,21
97,-2.72497967,-2.696346007,146
98,3.17374804,3.155644843,57
99,3.158884908,3.158285114,147
100,-4.293666942,-4.266349568,163
101,2.968402351,2.753062813,120
102,-6.760225,-6.696257982,70
103,-3.801429065,-3.772945775,70
104,4.091177352,3.922215656,129
105,1.06018992,1.026715096,62
106,-2.785265812,-2.895602257,22
107,2.987161616,2.702204788,46
108,2.399833901,2.514678557,113
109,2.42917509,2.343822988,181
110,0.404977136,0.37043648,87
111,-0.052136651,-0.296896774,115
112,0.331416385,0.313013842,114
113,-1.44816079,-1.5714003,72
114,5.321366641,5.238657621,129
115,0.440050872,0.527029724,96
116,-2.407120083,-2.508749077,83
117,-1.519161108,-1.738168633,23
118,0.449615192,0.414190375,103
119,-1.50759998,-1.329838102,20
120,5.677427191,5.656299106,141
121,0.257564242,0.233885738,167
122,3.71477227,3.813321393,97
123,-1.510189907,-1.636630518,78
