,lat,lon,b_true,b_pred
0,-5.791666237,2.101791898,0.560790323,0.946304016
1,2.558439171,-5.482619266,0.971063626,1.235583569
2,-7.680402752,-9.969362657,2.768832134,2.883086585
3,9.980663866,5.456659661,1.607806947,2.40105599
4,3.618585399,0.226311116,1.646961427,1.733776329
5,-3.710291556,-1.416586545,3.366608167,3.51642043
6,-9.10503353,-2.349483815,1.102146691,0.874127433
7,1.304621743,8.170392223,-6.548163755,-6.158235783
8,8.465828785,9.006634103,-1.497629406,-1.229442179
9,-8.829678105,8.387111706,-1.826541867,-1.480957437
10,4.508676619,-5.821089626,0.353546349,0.013318353
11,-1.053586454,5.315796245,-7.523259543,-7.147688898
12,-8.458000617,-3.433316403,1.943454335,2.168272976
13,-0.502212487,-9.187912954,-2.913488328,-2.959552213
14,1.023160268,-2.363127147,-3.871883067,-3.346259157
15,4.933305759,1.42516649,-1.895542367,-1.640050143
16,7.435393451,4.033855772,-3.792225917,-3.35874836
17,4.010694758,6.884055477,2.314634727,2.645355205
18,-4.759048244,0.664317875,3.013277163,2.520894564
19,-7.999308244,-0.904392443,0.72590726,0.766267334
20,-1.30110342,3.46022211,-4.322407621,-4.131021375
21,-9.364661516,9.561247227,-2.278304002,-1.967616397
22,7.902285614,-1.171926621,0.429764919,0.785470316
23,4.306459903,-2.147929249,5.918275468,5.576200478
24,-6.480225755,-3.039334403,2.506904422,2.276114929
25,-0.339087447,-0.548437189,-1.794437839,-1.607267345
26,2.336352734,-0.094849481,4.620796358,4.574401844
27,-2.001073424,0.75912735,4.495130552,4.694668493
28,1.995509323,-3.056494561,-1.468978359,-1.556342272
29,4.096864226,4.772528652,-1.765134639,-1.55501895
30,0.778636843,6.930567293,-3.43338174,-3.083353645
31,-1.581880705,3.726944025,-3.244312622,-2.87268833
32,4.532725333,1.74128154,0.879085682,0.633620067
33,5.554467485,9.351037068,-5.351323058,-5.36333454
34,0.697399198,3.668676825,-3.362511339,-3.468222824
35,-7.6049759,-4.738465121,2.837105063,2.792374018
36,-8.287702374,7.720029158,-1.829449156,-1.743497267
37,4.54380628,-6.895371749,2.047712107,2.046417212
38,-8.269342536,-1.587091638,2.246663015,1.962924163
39,-7.331255408,5.625722249,0.520677971,1.016145087
40,-4.689559713,-9.800494848,1.893931761,1.519627441
41,8.987443903,5.149672764,1.99750239,1.684682781
42,7.884826751,-6.279376063,-0.87505602,-0.745237699
43,-5.294472874,0.78786416,2.387351706,1.99057699
44,-2.951780554,-8.809657938,-0.779974191,-0.762509876
45,-3.773732481,-4.68405597,-0.522633007,-0.560502104
46,9.141817719,0.247672362,2.952677344,2.954202863
47,9.734543438,9.175360038,-2.88571412,-3.018385772
48,-9.689264845,-3.242684413,-3.701545676,-3.55511854
49,7.616809602,8.960630724,2.150196928,2.517148295
50,6.484278766,-5.95518385,-3.29747208,-2.682232564
51,2.103370683,-9.450681194,1.952825349,1.783008398
52,-8.017389608,6.939571042,-3.926633564,-3.714472977
53,-8.886407123,5.019169873,-1.337759274,-1.068447504
54,2.948428389,3.256892921,5.968495836,6.491922206
55,3.208269927,-5.774991443,-1.172245718,-1.043785405
56,7.92395354,4.437775328,-2.603303634,-2.118458764
57,3.475145028,3.915105555,2.705757695,2.999782897
