,lat,lon,b_true,b_pred
0,4.072281762,-3.062847198,0.672251234,0.795564822
1,9.328989815,-4.717422954,-0.331265214,-0.448760622
2,-1.676765933,7.084158147,0.91837862,0.960310748
3,8.161214326,0.115440723,-0.522954366,-0.507788856
4,9.049751466,3.089705033,1.907000936,1.932966372
5,1.717554588,-7.94836396,1.139812608,0.848663485
6,2.922578638,-6.986202804,3.363434282,3.288548897
7,0.738554309,-7.407614492,0.682414493,0.608164691
8,8.847513338,-7.948464834,0.376961392,0.491283511
9,-8.522995533,3.491150859,-2.147808899,-2.446775268
10,7.532983269,4.07760074,-1.4967037,-1.016619513
11,4.85077902,9.29245075,-0.23642775,-0.575051602
12,-4.140295687,0.521071452,0.351239168,0.344593904
13,5.305599679,1.930606054,-0.144843867,0.00274831
14,5.02538365,8.26822626,-0.467176489,-0.51614188
15,-2.981480705,-3.068492226,-2.589105315,-2.362837503
16,-4.500338853,-6.614938681,0.614708122,0.286119637
17,-6.497524394,-3.943375587,-0.387698455,-0.034955546
18,9.843641732,-4.288380397,-0.331461903,-0.353577663
19,2.503001263,6.052471755,-0.977128863,-0.902680145
20,-9.83375977,-8.7181351,-1.24554539,-1.962990623
21,7.508276599,8.362189133,-0.491947257,-0.276375784
22,-3.943409623,-3.483180766,0.078326026,0.046974182
23,1.920385472,-2.533643251,1.106157312,1.14475757
24,-4.6582552,4.133510122,-2.051542659,-2.448271171
25,8.879796048,-3.985059121,-2.154274186,-2.275057568
26,-1.108480044,-3.971078454,-1.253658936,-1.131207067
27,7.648886359,-8.483663459,0.828921877,0.742619729
28,2.342557787,9.096560993,-0.700194003,-0.779839403
29,2.610963713,-8.374832243,0.82222092,0.796048545
30,4.08288495,-4.376296145,0.329393912,0.539944275
31,5.471076753,2.235455772,-0.089327906,0.032774862
32,8.732669682,-7.415677874,0.678577312,0.626418865
33,-2.779246083,2.080286259,-0.269669202,-0.398594799
34,-6.522632869,-6.604422209,0.363780856,0.228327509
35,-7.749375058,-4.36368307,-0.364588294,-0.832465818
36,-1.819642764,-8.262514934,-0.946086778,-0.719269924
37,8.639730323,7.035105966,0.442342346,0.544098531
38,0.177425524,3.06672796,2.151586756,1.957230586
39,-4.426103373,4.054735948,-2.174550832,-2.562875159
40,5.799124201,-4.478904153,-0.831312684,-0.639337596
41,-8.770580428,1.617769804,-1.610570612,-1.520214066
42,2.331141657,3.292992941,-0.193096562,-0.506620867
43,8.535337156,-2.811884493,-3.469269271,-3.317547083
44,-0.760114932,-1.989668515,-0.76269814,-0.524542291
45,8.570084167,9.620856651,-0.377287996,-0.22564387
